SOURCE,AttributoNomeCompleto,DescrizioneCompleta,DescrizioneTabella,DescrizioneAttributo,Tabella,Attributo
OMOP,person-person_id,the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.;a unique identifier for each person.,the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.,a unique identifier for each person.,person,person_id
OMOP,person-gender_concept_id,the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.;a foreign key that refers to an identifier in the concept table for the unique gender of the person.,the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.,a foreign key that refers to an identifier in the concept table for the unique gender of the person.,person,gender_concept_id
OMOP,person-year_of_birth,"the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.;the year of birth of the person. for data sources with date of birth, the year is extracted. for data sources where the year of birth is not available, the approximate year of birth is derived based on any age group categorization available.",the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.,"the year of birth of the person. for data sources with date of birth, the year is extracted. for data sources where the year of birth is not available, the approximate year of birth is derived based on any age group categorization available.",person,year_of_birth
OMOP,person-month_of_birth,"the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.;the month of birth of the person. for data sources that provide the precise date of birth, the month is extracted and stored in this field.",the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.,"the month of birth of the person. for data sources that provide the precise date of birth, the month is extracted and stored in this field.",person,month_of_birth
OMOP,person-day_of_birth,"the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.;the day of the month of birth of the person. for data sources that provide the precise date of birth, the day is extracted and stored in this field.",the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.,"the day of the month of birth of the person. for data sources that provide the precise date of birth, the day is extracted and stored in this field.",person,day_of_birth
OMOP,person-birth_datetime,the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.;the date and time of birth of the person.,the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.,the date and time of birth of the person.,person,birth_datetime
OMOP,person-death_datetime,the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.;the date and time of death of the person.,the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.,the date and time of death of the person.,person,death_datetime
OMOP,person-race_concept_id,"the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.;a foreign key that refers to an identifier in the concept table for the unique race of the person, belonging to the 'race' vocabulary.",the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.,"a foreign key that refers to an identifier in the concept table for the unique race of the person, belonging to the 'race' vocabulary.",person,race_concept_id
OMOP,person-ethnicity_concept_id,"the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.;a foreign key that refers to the standard concept identifier in the standardized vocabularies for the ethnicity of the person, belonging to the 'ethnicity' vocabulary.",the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.,"a foreign key that refers to the standard concept identifier in the standardized vocabularies for the ethnicity of the person, belonging to the 'ethnicity' vocabulary.",person,ethnicity_concept_id
OMOP,person-location_id,"the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.;a foreign key to the place of residency for the person in the location table, where the detailed address information is stored.",the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.,"a foreign key to the place of residency for the person in the location table, where the detailed address information is stored.",person,location_id
OMOP,person-provider_id,the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.;a foreign key to the primary care provider the person is seeing in the provider table.,the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.,a foreign key to the primary care provider the person is seeing in the provider table.,person,provider_id
OMOP,person-care_site_id,"the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.;a foreign key to the site of primary care in the care_site table, where the details of the care site are stored.",the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.,"a foreign key to the site of primary care in the care_site table, where the details of the care site are stored.",person,care_site_id
OMOP,person-person_source_value,the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.;an (encrypted) key derived from the person identifier in the source data. this is necessary when a use case requires a link back to the person data at the source dataset.,the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.,an (encrypted) key derived from the person identifier in the source data. this is necessary when a use case requires a link back to the person data at the source dataset.,person,person_source_value
OMOP,person-gender_source_value,the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.;the source code for the gender of the person as it appears in the source data. the person’s gender is mapped to a standard gender concept in the standardized vocabularies; the original value is stored here for reference.,the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.,the source code for the gender of the person as it appears in the source data. the person’s gender is mapped to a standard gender concept in the standardized vocabularies,person,gender_source_value
OMOP,person-gender_source_concept_id,the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.;a foreign key to the gender concept that refers to the code used in the source.,the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.,a foreign key to the gender concept that refers to the code used in the source.,person,gender_source_concept_id
OMOP,person-race_source_value,the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.;the source code for the race of the person as it appears in the source data. the person race is mapped to a standard race concept in the standardized vocabularies and the original value is stored here for reference.,the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.,the source code for the race of the person as it appears in the source data. the person race is mapped to a standard race concept in the standardized vocabularies and the original value is stored here for reference.,person,race_source_value
OMOP,person-race_source_concept_id,the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.;a foreign key to the race concept that refers to the code used in the source.,the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems.,a foreign key to the race concept that refers to the code used in the source.,person,race_source_concept_id
