NomeColonnaCompleta,DescrizioneColonnaCompleta
beneficiarysummary_desynpuf_id,"beneficiarysummary pertains to a synthetic medicare beneficiary , beneficiary code"
beneficiarysummary_bene_birth_dt,"beneficiarysummary pertains to a synthetic medicare beneficiary , date of birth"
beneficiarysummary_bene_death_dt,"beneficiarysummary pertains to a synthetic medicare beneficiary , date of death"
beneficiarysummary_bene_sex_ident_cd,"beneficiarysummary pertains to a synthetic medicare beneficiary , sex"
beneficiarysummary_bene_race_cd,"beneficiarysummary pertains to a synthetic medicare beneficiary , beneficiary race code"
beneficiarysummary_bene_esrd_ind,"beneficiarysummary pertains to a synthetic medicare beneficiary , end stage renal disease indicator"
beneficiarysummary_sp_state_code,"beneficiarysummary pertains to a synthetic medicare beneficiary , state code"
beneficiarysummary_bene_county_cd,"beneficiarysummary pertains to a synthetic medicare beneficiary , county code"
beneficiarysummary_bene_hi_cvrage_tot_mons,"beneficiarysummary pertains to a synthetic medicare beneficiary , total number of months of part a coverage for the beneficiary."
beneficiarysummary_bene_smi_cvrage_tot_mons,"beneficiarysummary pertains to a synthetic medicare beneficiary , total number of months of part b coverage for the beneficiary."
beneficiarysummary_bene_hmo_cvrage_tot_mons,"beneficiarysummary pertains to a synthetic medicare beneficiary , total number of months of hmo coverage for the beneficiary."
beneficiarysummary_plan_cvrg_mos_num,"beneficiarysummary pertains to a synthetic medicare beneficiary , total number of months of part d plan coverage for the beneficiary."
beneficiarysummary_sp_alzhdmta,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: alzheimer or related disorders or senile"
beneficiarysummary_sp_chf,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: heart failure"
beneficiarysummary_sp_chrnkidn,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: chronic kidney disease"
beneficiarysummary_sp_cncr,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: cancer"
beneficiarysummary_sp_copd,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: chronic obstructive pulmonary disease"
beneficiarysummary_sp_depressn,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: depression"
beneficiarysummary_sp_diabetes,"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: diabetes"
