NomeColonnaCompleta,DescrizioneColonnaCompleta
admissions_mimic_id,"the admissions table gives information regarding a patient’s admission to the hospital., a unique id for all mimic tables."
admissions_hadm_id,"the admissions table gives information regarding a patient’s admission to the hospital., hadm_id represents a single patient’s admission to the hospital."
admissions_admittime,"the admissions table gives information regarding a patient’s admission to the hospital., admittime provides the date and time the patient was admitted to the hospital."
admissions_dischtime,"the admissions table gives information regarding a patient’s admission to the hospital., dischtime provides the date and time the patient was discharged from the hospital."
admissions_deathtime,"the admissions table gives information regarding a patient’s admission to the hospital., deathtime provides the time of in-hospital death for the patient."
admissions_admission_type,"the admissions table gives information regarding a patient’s admission to the hospital., admission_type describes the type of the admission."
admissions_admission_location,"the admissions table gives information regarding a patient’s admission to the hospital., admission_location provides information about the previous location of the patient prior to arriving at the hospital."
admissions_insurance,"the admissions table gives information regarding a patient’s admission to the hospital., insurance describes patient demographics."
admissions_language,"the admissions table gives information regarding a patient’s admission to the hospital., language describes patient demographics."
admissions_religion,"the admissions table gives information regarding a patient’s admission to the hospital., religion describes patient demographics."
admissions_marital_status,"the admissions table gives information regarding a patient’s admission to the hospital., marital_status describes patient demographics."
admissions_ethnicity,"the admissions table gives information regarding a patient’s admission to the hospital., ethnicity describes patient demographics."
admissions_edregtime,"the admissions table gives information regarding a patient’s admission to the hospital., edregtime describes time that the patient was registered"
admissions_edouttime,"the admissions table gives information regarding a patient’s admission to the hospital., edouttime describes time that the patient was registered"
admissions_diagnosis,"the admissions table gives information regarding a patient’s admission to the hospital., diafnosis provides a preliminary, free text diagnosis for the patient on hospital admission. "
admissions_hospital_expire_flag,"the admissions table gives information regarding a patient’s admission to the hospital., hospital_expire_flag indicates whether the patient died within the given hospitalization."
callout_submit_wardid,"the callout table provides information about icu discharge planning., submit_wardid identifies the ward from which the request was submitted."
callout_submit_careunit,"the callout table provides information about icu discharge planning., submit_careunit indicates whether the submit_wardid corresponds to an icu cost center, and if so, what type of icu cost center."
callout_curr_wardid,"the callout table provides information about icu discharge planning., curr_wardid identifies the ward in which the patient resides when called out."
callout_curr_careunit,"the callout table provides information about icu discharge planning., curr_careunit indicates which icu cost center the curr_wardidcorresponds to."
callout_callout_wardid,"the callout table provides information about icu discharge planning., callout_wardid identifies the ward to which the patient should be discharged. "
callout_callout_service,"the callout table provides information about icu discharge planning., callout_service is the service under which the patient should be discharged."
callout_request_tele,"the callout table provides information about icu discharge planning., request_tele requests certain precautions for the patient in the subsequent ward where they will reside."
callout_request_resp,"the callout table provides information about icu discharge planning., request_resp requests certain precautions for the patient in the subsequent ward where they will reside."
callout_request_cdiff,"the callout table provides information about icu discharge planning., request_cdiff requests certain precautions for the patient in the subsequent ward where they will reside."
callout_request_mrsa,"the callout table provides information about icu discharge planning., request_mrsa requests certain precautions for the patient in the subsequent ward where they will reside."
callout_request_vre,"the callout table provides information about icu discharge planning., request_vre requests certain precautions for the patient in the subsequent ward where they will reside."
callout_callout_status,"the callout table provides information about icu discharge planning., callout_status indicates whether the call out is still active or not."
callout_callout_outcome,"the callout table provides information about icu discharge planning., callout_outcome indicates whether the patient finally called out"
callout_discharge_wardid,"the callout table provides information about icu discharge planning., discharge_wardid indicates the ward to which the patient was actually discharged."
callout_acknowledge_status,"the callout table provides information about icu discharge planning., acknowledge_status indicates the response to the callout event."
callout_createtime,"the callout table provides information about icu discharge planning., createtime provides the time and date that the call out was initiated."
callout_updatetime,"the callout table provides information about icu discharge planning., updatetime provides the last time at which the call out event was updated."
callout_acknowledgetime,"the callout table provides information about icu discharge planning., acknowledgetime is the time at which the call out was first acknowledged."
callout_outcometime,"the callout table provides information about icu discharge planning., outcometime is the time at which the callout_outcome occurred."
callout_firstreservationtime,"the callout table provides information about icu discharge planning., firstreservationtime provides information regarding ward reservations."
callout_currentreservationtime,"the callout table provides information about icu discharge planning., currentreservationtime provides information regarding ward reservations."
callout_mimic_id,"the callout table provides information about icu discharge planning., a unique id for all mimic tables."
caregivers_cgid,"this table provides information regarding care givers., cgid is a unique identifier for each distinct caregiver present in the database."
caregivers_label,"this table provides information regarding care givers., label defines the type of caregiver."
caregivers_description,"this table provides information regarding care givers., description provides additional information regarding the caregiver."
caregivers_mimic_id,"this table provides information regarding care givers., a unique id for all mimic tables."
chartevents_charttime,"chartevents contains all the charted data available for a patient. , charttime records the time at which an observation was made, and is usually the closest proxy to the time the data was actually measured."
chartevents_storetime,"chartevents contains all the charted data available for a patient. , storetime records the time at which an observation was manually input or manually validated by a member of the clinical staff."
chartevents_value,"chartevents contains all the charted data available for a patient. , value contains the value measured for the concept identified by the itemid."
chartevents_valuenum,"chartevents contains all the charted data available for a patient. , valuenum contains the score and value contains the score and text describing the meaning of the score."
chartevents_valueuom,"chartevents contains all the charted data available for a patient. , valueuom is the unit of measurement for the value, if appropriate."
chartevents_warning,"chartevents contains all the charted data available for a patient. , warning specifies if a warning for the value was raised and if an error occurred during the measurement."
chartevents_error,"chartevents contains all the charted data available for a patient. , error specifies if a warning for the value was raised and if an error occurred during the measurement."
chartevents_resultstatus,"chartevents contains all the charted data available for a patient. , resultstatus specifies the type of measurement. "
chartevents_stopped,"chartevents contains all the charted data available for a patient. , stopped specifies whether the measurement was stopped."
chartevents_mimic_id,"chartevents contains all the charted data available for a patient. , a unique id for all mimic tables."
cptevents_costcenter,"the cptevents table contains a list of which current procedural terminology codes were billed for which patients. , costcenter is the cost center which billed for the corresponding cpt codes."
cptevents_chartdate,"the cptevents table contains a list of which current procedural terminology codes were billed for which patients. , chartdate is the date at which the procedure occurred."
cptevents_cpt_cd,"the cptevents table contains a list of which current procedural terminology codes were billed for which patients. , cpt_cd contains the original cpt code."
cptevents_cpt_number,"the cptevents table contains a list of which current procedural terminology codes were billed for which patients. , cpt_number is a numeric version of the cpt_cdcolumn."
cptevents_cpt_suffix,"the cptevents table contains a list of which current procedural terminology codes were billed for which patients. , cpt_suffix column contains the text suffix when the cpt_cd contains non-numeric characters."
cptevents_ticket_id_seq,"the cptevents table contains a list of which current procedural terminology codes were billed for which patients. , ticket_id_seq is the order of the cpt_cd."
cptevents_sectionheader,"the cptevents table contains a list of which current procedural terminology codes were billed for which patients. , sectionheader provides a category for the given cpt code."
cptevents_subsectionheader,"the cptevents table contains a list of which current procedural terminology codes were billed for which patients. , subsectionheader provides a category for the given cpt code."
cptevents_description,"the cptevents table contains a list of which current procedural terminology codes were billed for which patients. , description provides information about the meaning of the cpt code."
cptevents_mimic_id,"the cptevents table contains a list of which current procedural terminology codes were billed for which patients. , a unique id for all mimic tables."
d_cpt_category,"d_cpt gives some high level information regarding current procedural terminology (cpt) codes., category is a integer which identifies the category of the cpt code."
d_cpt_sectionrange,"d_cpt gives some high level information regarding current procedural terminology (cpt) codes., sectionrange defines the range of codes for the given section."
d_cpt_sectionheader,"d_cpt gives some high level information regarding current procedural terminology (cpt) codes., sectionheader provides the description of the given section."
d_cpt_subsectionrange,"d_cpt gives some high level information regarding current procedural terminology (cpt) codes., subsectionrange defines the range of codes for the given subsection."
d_cpt_subsectionheader,"d_cpt gives some high level information regarding current procedural terminology (cpt) codes., subsectionheader provides the description of the given subsection."
d_cpt_mincodeinsubsection,"d_cpt gives some high level information regarding current procedural terminology (cpt) codes., mincodeinsubsection provides numeric representations of minimum value in the subsectionrange column."
d_cpt_maxcodeinsubsection,"d_cpt gives some high level information regarding current procedural terminology (cpt) codes., maxcodeinsubsection provides numeric representations of minimum value in the subsectionrange column."
d_cpt_mimic_id,"d_cpt gives some high level information regarding current procedural terminology (cpt) codes., a unique id for all mimic tables."
d_icd_diagnoses_icd9_code,"d_icd_diagnoses defines international classification of diseases version 9 (icd-9) codes for diagnoses., icd9 code - note that this is a fixed length character field, as whitespaces are important in uniquely identifying icd-9 codes."
