NomeColonnaCompleta,DescrizioneColonnaCompleta
person_person_id,"the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems., a unique identifier for each person."
person_gender_concept_id,"the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems., a foreign key that refers to an identifier in the concept table for the unique gender of the person."
person_year_of_birth,"the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems., the year of birth of the person. for data sources with date of birth, the year is extracted. for data sources where the year of birth is not available, the approximate year of birth is derived based on any age group categorization available."
person_month_of_birth,"the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems., the month of birth of the person. for data sources that provide the precise date of birth, the month is extracted and stored in this field."
person_day_of_birth,"the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems., the day of the month of birth of the person. for data sources that provide the precise date of birth, the day is extracted and stored in this field."
person_birth_datetime,"the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems., the date and time of birth of the person."
person_death_datetime,"the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems., the date and time of death of the person."
person_race_concept_id,"the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems., a foreign key that refers to an identifier in the concept table for the unique race of the person, belonging to the 'race' vocabulary."
person_ethnicity_concept_id,"the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems., a foreign key that refers to the standard concept identifier in the standardized vocabularies for the ethnicity of the person, belonging to the 'ethnicity' vocabulary."
person_location_id,"the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems., a foreign key to the place of residency for the person in the location table, where the detailed address information is stored."
person_provider_id,"the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems., a foreign key to the primary care provider the person is seeing in the provider table."
person_care_site_id,"the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems., a foreign key to the site of primary care in the care_site table, where the details of the care site are stored."
person_person_source_value,"the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems., an (encrypted) key derived from the person identifier in the source data. this is necessary when a use case requires a link back to the person data at the source dataset."
person_gender_source_value,"the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems., the source code for the gender of the person as it appears in the source data. the person’s gender is mapped to a standard gender concept in the standardized vocabularies"
person_gender_source_concept_id,"the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems., a foreign key to the gender concept that refers to the code used in the source."
person_race_source_value,"the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems., the source code for the race of the person as it appears in the source data. the person race is mapped to a standard race concept in the standardized vocabularies and the original value is stored here for reference."
person_race_source_concept_id,"the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems., a foreign key to the race concept that refers to the code used in the source."
person_ethnicity_source_value,"the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems., the source code for the ethnicity of the person as it appears in the source data. the person ethnicity is mapped to a standard ethnicity concept in the standardized vocabularies and the original code is, stored here for reference."
person_ethnicity_source_concept_id,"the person domain contains records that uniquely identify each patient in the source data who is time at-risk to have clinical observations recorded within the source systems., a foreign key to the ethnicity concept that refers to the code used in the source."
visit_occurrence_visit_occurrence_id,"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., a unique identifier for each person's visit or encounter at a healthcare provider."
visit_occurrence_person_id,"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., a foreign key identifier to the person for whom the visit is recorded. the demographic details of that person are stored in the person table."
visit_occurrence_visit_concept_id,"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., a foreign key that refers to a visit concept identifier in the standardized vocabularies belonging to the 'visit' vocabulary."
visit_occurrence_visit_start_date,"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the start date of the visit."
visit_occurrence_visit_start_datetime,"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit started."
visit_occurrence_visit_end_date,"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the end date of the visit. if this is a one-day visit the end date should match the start date."
visit_occurrence_visit_end_datetime,"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., the date and time of the visit end."
visit_occurrence_visit_type_concept_id,"the visit_occurrence table contains the spans of time a person continuously receives medical services from one or more providers at a care site in a given setting within the health care system. visits are classified into 4 settings: outpatient care, inpatient confinement, emergency room, and long-term care. persons may transition between these settings over the course of an episode of care (for example, treatment of a disease onset)., a foreign key to the predefined concept identifier in the standardized vocabularies reflecting the type of source data from which the visit record is derived belonging to the 'visit type' vocabulary."
