NomeColonnaCompleta,DescrizioneColonnaCompleta
allergies_start,"patient allergy data., the date the allergy was diagnosed."
allergies_stop,"patient allergy data., the date the allergy ended, if applicable."
allergies_patient,"patient allergy data., foreign key to the patient."
allergies_encounter,"patient allergy data., foreign key to the encounter when the allergy was diagnosed."
allergies_code,"patient allergy data., allergy code from snomed-ct"
allergies_description,"patient allergy data., description of the allergy"
careplans_id,"patient care plan data, including goals., primary key. unique identifier of the care plan."
careplans_start,"patient care plan data, including goals., the date the care plan was initiated."
careplans_stop,"patient care plan data, including goals., the date the care plan ended, if applicable."
careplans_patient,"patient care plan data, including goals., foreign key to the patient."
careplans_encounter,"patient care plan data, including goals., foreign key to the encounter when the care plan was initiated."
careplans_code,"patient care plan data, including goals., code from snomed-ct"
careplans_description,"patient care plan data, including goals., description of the care plan."
careplans_reasoncode,"patient care plan data, including goals., diagnosis code from snomed-ct that this care plan addresses."
careplans_reasondescription,"patient care plan data, including goals., description of the reason code."
conditions_start,"patient conditions or diagnoses., the date the condition was diagnosed."
conditions_stop,"patient conditions or diagnoses., the date the condition resolved, if applicable."
conditions_patient,"patient conditions or diagnoses., foreign key to the patient."
conditions_encounter,"patient conditions or diagnoses., foreign key to the encounter when the condition was diagnosed."
conditions_code,"patient conditions or diagnoses., diagnosis code from snomed-ct"
conditions_description,"patient conditions or diagnoses., description of the condition."
encounters_id,"patient encounter data., primary key. unique identifier of the encounter."
encounters_start,"patient encounter data., the date and time the encounter started."
encounters_stop,"patient encounter data., the date and time the encounter concluded."
encounters_patient,"patient encounter data., foreign key to the patient."
encounters_provider,"patient encounter data., foreign key to the organization."
encounters_encounterclass,"patient encounter data., the class of the encounter, such as ambulatory, emergency, inpatient, wellness, or urgentcare"
encounters_code,"patient encounter data., encounter code from snomed-ct"
encounters_description,"patient encounter data., description of the type of encounter."
encounters_cost,"patient encounter data., the base cost of the encounter, not including any line item costs related to medications, immunizations, procedures, or other services."
encounters_reasoncode,"patient encounter data., diagnosis code from snomed-ct, only if this encounter targeted a specific condition."
encounters_reasondescription,"patient encounter data., description of the reason code."
imaging_studies_id,"patient imaging metadata., primary key. unique identifier of the imaging study."
imaging_studies_date,"patient imaging metadata., the date the imaging study was conducted."
imaging_studies_patient,"patient imaging metadata., foreign key to the patient."
imaging_studies_encounter,"patient imaging metadata., foreign key to the encounter where the imaging study was conducted."
imaging_studies_body site code,"patient imaging metadata., a snomed body structures code describing what part of the body the images in the series were taken of."
imaging_studies_body site description,"patient imaging metadata., description of the body site."
imaging_studies_modality code,"patient imaging metadata., a dicom-dcm code describing the method used to take the images."
imaging_studies_modality description,"patient imaging metadata., description of the modality."
imaging_studies_sop code,"patient imaging metadata., a dicom-sop code describing the subject-object pair (sop) that constitutes the image."
imaging_studies_sop description,"patient imaging metadata., description of the sop code."
immunizations_date,"patient immunization data., the date the immunization was administered."
immunizations_patient,"patient immunization data., foreign key to the patient."
immunizations_encounter,"patient immunization data., foreign key to the encounter where the immunization was administered."
immunizations_code,"patient immunization data., immunization code from cvx."
immunizations_description,"patient immunization data., description of the immunization."
immunizations_cost,"patient immunization data., the line item cost of the immunization."
medications_start,"patient medication data., the date the medication was prescribed."
medications_stop,"patient medication data., the date the prescription ended, if applicable."
medications_patient,"patient medication data., foreign key to the patient."
medications_encounter,"patient medication data., foreign key to the encounter where the medication was prescribed."
medications_code,"patient medication data., medication code from rxnorm."
medications_description,"patient medication data., description of the medication."
medications_cost,"patient medication data., the line item cost of the medication."
medications_reasoncode,"patient medication data., diagnosis code from snomed-ct specifying why this medication was prescribed."
medications_reasondescription,"patient medication data., description of the reason code."
observations_date,"patient observations including vital signs and lab reports., the date the observation was performed."
observations_patient,"patient observations including vital signs and lab reports., foreign key to the patient."
observations_encounter,"patient observations including vital signs and lab reports., foreign key to the encounter where the observation was performed."
observations_code,"patient observations including vital signs and lab reports., observation or lab code from loinc"
observations_description,"patient observations including vital signs and lab reports., description of the observation or lab."
observations_value,"patient observations including vital signs and lab reports., the recorded value of the observation."
observations_units,"patient observations including vital signs and lab reports., the units of measure for the value."
observations_type,"patient observations including vital signs and lab reports., the datatype of value text or numeric."
organizations_id,"provider organizations including hospitals., primary key of the organization."
organizations_name,"provider organizations including hospitals., name of the organization."
organizations_address,"provider organizations including hospitals., organization's street address without commas or newlines."
organizations_city,"provider organizations including hospitals., street address city."
organizations_state,"provider organizations including hospitals., street address state abbreviation."
organizations_zip,"provider organizations including hospitals., street address zip or postal code."
organizations_phone,"provider organizations including hospitals., organization's phone number."
organizations_utilization,"provider organizations including hospitals., the number of encounter's performed by this organization."
patients_id,"patient demographic data., primary key. unique identifier of the patient."
patients_birthdate,"patient demographic data., the date the patient was born."
patients_deathdate,"patient demographic data., the date the patient died."
patients_ssn,"patient demographic data., patient social security identifier."
patients_drivers,"patient demographic data., patient drivers license identifier."
patients_passport,"patient demographic data., patient passport identifier."
patients_prefix,"patient demographic data., name prefix, such as mr., mrs., dr., etc."
patients_first,"patient demographic data., first name of the patient."
patients_last,"patient demographic data., last or surname of the patient."
patients_suffix,"patient demographic data., name suffix, such as phd, md, jd, etc."
patients_maiden,"patient demographic data., maiden name of the patient."
patients_marital,"patient demographic data., marital status. m is married, s is single. currently no support for divorce (d) or widowing (w)"
patients_race,"patient demographic data., description of the patient's primary race."
patients_ethnicity,"patient demographic data., description of the patient's primary ethnicity."
patients_gender,"patient demographic data., gender. m is male, f is female."
patients_birthplace,"patient demographic data., name of the town where the patient was born."
patients_address,"patient demographic data., patient's street address without commas or newlines."
patients_city,"patient demographic data., patient's address city."
patients_state,"patient demographic data., patient's address state."
patients_zip,"patient demographic data., patient's zip code."
procedures_date,"patient procedure data including surgeries., the date the procedure was performed."
procedures_patient,"patient procedure data including surgeries., foreign key to the patient."
procedures_encounter,"patient procedure data including surgeries., foreign key to the encounter where the procedure was performed."
procedures_code,"patient procedure data including surgeries., procedure code from snomed-ct"
procedures_description,"patient procedure data including surgeries., description of the procedure."
procedures_cost,"patient procedure data including surgeries., the line item cost of the procedure."
procedures_reasoncode,"patient procedure data including surgeries., diagnosis code from snomed-ct specifying why this procedure was performed."
procedures_reasondescription,"patient procedure data including surgeries., description of the reason code."
providers_id,"clinicians that provide patient care., primary key of the provider/clinician."
providers_organization,"clinicians that provide patient care., foreign key to the organization that employees this provider."
providers_name,"clinicians that provide patient care., first and last name of the provider."
providers_gender,"clinicians that provide patient care., gender. m is male, f is female."
providers_speciality,"clinicians that provide patient care., provider speciality."
providers_address,"clinicians that provide patient care., provider's street address without commas or newlines."
providers_city,"clinicians that provide patient care., street address city."
providers_state,"clinicians that provide patient care., street address state abbreviation."
providers_zip,"clinicians that provide patient care., street address zip or postal code."
providers_utilization,"clinicians that provide patient care., the number of encounter's performed by this provider."
