TipoDiAnnotazione,ontologies,SOURCE,AttributoNomeCompleto,entity_id,pretty_name,cui
BioportalAttributoNomeCompleto,LOINC,OMOP,person-person_id,1,Person,LP345156-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-person_id,2,Person,LP133774-2
BioportalAttributoNomeCompleto,LOINC,OMOP,person-person_id,3,Person,MTHU066373
BioportalAttributoNomeCompleto,LOINC,OMOP,person-person_id,4,Person:ID:Pt:^Patient:Nom,106193-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-person_id,5,Person,MTHU041262
BioportalAttributoNomeCompleto,LOINC,OMOP,person-gender_concept_id,1,Person,LP345156-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-gender_concept_id,2,Person,LP133774-2
BioportalAttributoNomeCompleto,LOINC,OMOP,person-gender_concept_id,3,Person,MTHU066373
BioportalAttributoNomeCompleto,LOINC,OMOP,person-gender_concept_id,4,Person:ID:Pt:^Patient:Nom,106193-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-gender_concept_id,5,Person,MTHU041262
BioportalAttributoNomeCompleto,LOINC,OMOP,person-gender_concept_id,6,Gender,LP61312-2
BioportalAttributoNomeCompleto,LOINC,OMOP,person-gender_concept_id,7,Gender,MTHU002975
BioportalAttributoNomeCompleto,LOINC,OMOP,person-year_of_birth,1,Person,LP345156-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-year_of_birth,2,Person,LP133774-2
BioportalAttributoNomeCompleto,LOINC,OMOP,person-year_of_birth,3,Person,MTHU066373
BioportalAttributoNomeCompleto,LOINC,OMOP,person-year_of_birth,4,Person:ID:Pt:^Patient:Nom,106193-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-year_of_birth,5,Person,MTHU041262
BioportalAttributoNomeCompleto,LOINC,OMOP,person-month_of_birth,1,Person,LP345156-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-month_of_birth,2,Person,LP133774-2
BioportalAttributoNomeCompleto,LOINC,OMOP,person-month_of_birth,3,Person,MTHU066373
BioportalAttributoNomeCompleto,LOINC,OMOP,person-month_of_birth,4,Person:ID:Pt:^Patient:Nom,106193-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-month_of_birth,5,Person,MTHU041262
BioportalAttributoNomeCompleto,LOINC,OMOP,person-month_of_birth,6,Month,LA14217-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-day_of_birth,1,Person,LP345156-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-day_of_birth,2,Person,LP133774-2
BioportalAttributoNomeCompleto,LOINC,OMOP,person-day_of_birth,3,Person,MTHU066373
BioportalAttributoNomeCompleto,LOINC,OMOP,person-day_of_birth,4,Person:ID:Pt:^Patient:Nom,106193-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-day_of_birth,5,Person,MTHU041262
BioportalAttributoNomeCompleto,LOINC,OMOP,person-day_of_birth,6,Day,MTHU039849
BioportalAttributoNomeCompleto,LOINC,OMOP,person-day_of_birth,7,Day,LA15804-0
BioportalAttributoNomeCompleto,LOINC,OMOP,person-day_of_birth,8,Day,LP121628-4
BioportalAttributoNomeCompleto,LOINC,OMOP,person-birth_datetime,1,Person,LP345156-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-birth_datetime,2,Person,LP133774-2
BioportalAttributoNomeCompleto,LOINC,OMOP,person-birth_datetime,3,Person,MTHU066373
BioportalAttributoNomeCompleto,LOINC,OMOP,person-birth_datetime,4,Person:ID:Pt:^Patient:Nom,106193-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-birth_datetime,5,Person,MTHU041262
BioportalAttributoNomeCompleto,LOINC,OMOP,person-death_datetime,1,Person,LP345156-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-death_datetime,2,Person,LP133774-2
BioportalAttributoNomeCompleto,LOINC,OMOP,person-death_datetime,3,Person,MTHU066373
BioportalAttributoNomeCompleto,LOINC,OMOP,person-death_datetime,4,Person:ID:Pt:^Patient:Nom,106193-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-death_datetime,5,Person,MTHU041262
BioportalAttributoNomeCompleto,LOINC,OMOP,person-death_datetime,6,Death,LA7424-0
BioportalAttributoNomeCompleto,LOINC,OMOP,person-race_concept_id,1,Person,LP345156-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-race_concept_id,2,Person,LP133774-2
BioportalAttributoNomeCompleto,LOINC,OMOP,person-race_concept_id,3,Person,MTHU066373
BioportalAttributoNomeCompleto,LOINC,OMOP,person-race_concept_id,4,Person:ID:Pt:^Patient:Nom,106193-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-race_concept_id,5,Person,MTHU041262
BioportalAttributoNomeCompleto,LOINC,OMOP,person-race_concept_id,6,Race,MTHU009923
BioportalAttributoNomeCompleto,LOINC,OMOP,person-race_concept_id,7,Race:Type:Pt:^Patient:Nom,32624-9
BioportalAttributoNomeCompleto,LOINC,OMOP,person-race_concept_id,8,Race,LP71009-2
BioportalAttributoNomeCompleto,LOINC,OMOP,person-race_concept_id,9,Race,MTHU051585
BioportalAttributoNomeCompleto,LOINC,OMOP,person-race_concept_id,10,Race,LP7528-5
BioportalAttributoNomeCompleto,LOINC,OMOP,person-ethnicity_concept_id,1,Person,LP345156-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-ethnicity_concept_id,2,Person,LP133774-2
BioportalAttributoNomeCompleto,LOINC,OMOP,person-ethnicity_concept_id,3,Person,MTHU066373
BioportalAttributoNomeCompleto,LOINC,OMOP,person-ethnicity_concept_id,4,Person:ID:Pt:^Patient:Nom,106193-6
BioportalAttributoNomeCompleto,LOINC,OMOP,person-ethnicity_concept_id,5,Person,MTHU041262
BioportalAttributoNomeCompleto,LOINC,OMOP,person-ethnicity_concept_id,6,Ethnicity,LP72553-8
