TipoDiAnnotazione,ontologies,SOURCE,AttributoNomeCompleto,entity_id,pretty_name,cui,annotator
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-bene_birth_dt,1,Date of birth,184099003,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-bene_death_dt,1,Date of death,399753006,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-bene_esrd_ind,2,End-stage renal disease,46177005,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_state_code,0,State,398070004,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-bene_hi_cvrage_tot_mons,0,Total,255619001,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-bene_hi_cvrage_tot_mons,3,In (attribute),18720000,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-bene_smi_cvrage_tot_mons,0,Total,255619001,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-bene_smi_cvrage_tot_mons,3,In (attribute),18720000,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-bene_hmo_cvrage_tot_mons,0,Total,255619001,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-plan_cvrg_mos_num,0,Total,255619001,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-plan_cvrg_mos_num,3,In (attribute),18720000,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_alzhdmta,0,Chronic,90734009,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_alzhdmta,1,Condition,260905004,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_alzhdmta,2,Alzheimer's disease,26929004,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_alzhdmta,3,Related,262094002,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_alzhdmta,4,Disease,64572001,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_chf,0,Chronic,90734009,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_chf,1,Condition,260905004,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_chf,3,Heart failure,84114007,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_chrnkidn,0,Chronic,90734009,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_chrnkidn,1,Condition,260905004,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_chrnkidn,3,Chronic kidney disease,709044004,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_cncr,0,Chronic,90734009,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_cncr,1,Condition,260905004,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_cncr,2,Malignant neoplastic disease,363346000,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_copd,0,Chronic,90734009,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_copd,1,Condition,260905004,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_copd,3,Chronic obstructive lung disease,13645005,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_depressn,0,Chronic,90734009,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_depressn,1,Condition,260905004,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_diabetes,0,Chronic,90734009,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_diabetes,1,Condition,260905004,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_ischmcht,0,Chronic,90734009,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_ischmcht,1,Condition,260905004,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_ischmcht,3,Ischemic heart disease,414545008,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_osteoprs,0,Chronic,90734009,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_osteoprs,1,Condition,260905004,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_osteoprs,2,Osteoporosis,64859006,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_ra_oa,0,Chronic,90734009,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_ra_oa,1,Condition,260905004,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_ra_oa,2,Rheumatoid arthritis,69896004,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_ra_oa,4,Osteoarthritis,396275006,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_strketia,0,Chronic,90734009,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_strketia,1,Condition,260905004,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_strketia,2,Cerebrovascular accident,230690007,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_strketia,4,Transient ischemic attack,266257000,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-medreimb_ip,0,Inpatient,416800000,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-medreimb_ip,1,Annual,53281000,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-benres_ip,0,Inpatient,416800000,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-benres_ip,1,Annual,53281000,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-pppymt_ip,0,Inpatient,416800000,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-pppymt_ip,1,Annual,53281000,MedCAT
Medcat_SNOMED_Df_CS_08_ANC,SNOMED-CT,Csm,beneficiarysummary-medreimb_op ,0,Outpatient,373864002,MedCAT
