entity_id,pretty_name,cui,type_ids,types,source_value,detected_name,acc,context_similarity,text
0,synthetic nucleotide,C0597550,['T114'],"['Nucleic Acid, Nucleoside, or Nucleotide']",synthetic,synthetic,0.27448882497552035,0.27448882497552035,"beneficiarysummary pertains to a synthetic medicare beneficiary , beneficiary code"
5,Risk Codes - Biological,C1548762,['T170'],['Intellectual Product'],code,code,0.35312065502978784,0.35312065502978784,"beneficiarysummary pertains to a synthetic medicare beneficiary , beneficiary code"
0,Synthesis,C1883254,['T052'],['Activity'],synthetic,synthetic,0.33533748417389353,0.33533748417389353,"beneficiarysummary pertains to a synthetic medicare beneficiary , date of birth"
5,Subject Birth Date,C2348576,['T170'],['Intellectual Product'],date of birth,date~of~birth,1.0,1.0,"beneficiarysummary pertains to a synthetic medicare beneficiary , date of birth"
0,Research Activities,C0242481,['T062'],['Research Activity'],synthetic,synthetic,0.3128156521040319,0.3128156521040319,"beneficiarysummary pertains to a synthetic medicare beneficiary , date of death"
1,Medicare,C0018717,['T064'],['Governmental or Regulatory Activity'],medicare,medicare,0.22056247311553517,0.22056247311553517,"beneficiarysummary pertains to a synthetic medicare beneficiary , date of death"
5,Date of death,C1148348,['T079'],['Temporal Concept'],date of death,date~of~death,1.0,1.0,"beneficiarysummary pertains to a synthetic medicare beneficiary , date of death"
0,synthetic nucleotide,C0597550,['T114'],"['Nucleic Acid, Nucleoside, or Nucleotide']",synthetic,synthetic,0.3501296077994056,0.3501296077994056,"beneficiarysummary pertains to a synthetic medicare beneficiary , sex"
4,Coitus,C0009253,['T040'],['Organism Function'],sex,sex,0.6394049696859173,0.6394049696859173,"beneficiarysummary pertains to a synthetic medicare beneficiary , sex"
0,synthetic nucleotide,C0597550,['T114'],"['Nucleic Acid, Nucleoside, or Nucleotide']",synthetic,synthetic,0.2901896647828332,0.2901896647828332,"beneficiarysummary pertains to a synthetic medicare beneficiary , beneficiary race code"
