text,entity_id,pretty_name,cui,type_ids,types,source_value,detected_name,acc,context_similarity,ontologies,names
"beneficiarysummary pertains to a synthetic medicare beneficiary , date of birth",1,Date of birth,184099003,['2680757'],['observable entity'],date of birth,date~of~birth,1.0,1.0,['SNOMED-CT'],beneficiarysummary_bene_birth_dt
"beneficiarysummary pertains to a synthetic medicare beneficiary , date of death",1,Date of death,399753006,['2680757'],['observable entity'],date of death,date~of~death,1.0,1.0,['SNOMED-CT'],beneficiarysummary_bene_death_dt
"beneficiarysummary pertains to a synthetic medicare beneficiary , end stage renal disease indicator",2,End-stage renal disease,46177005,['9090192'],['disorder'],end stage renal disease,end~stage~renal~disease,1.0,1.0,['SNOMED-CT'],beneficiarysummary_bene_esrd_ind
"beneficiarysummary pertains to a synthetic medicare beneficiary , state code",0,State,398070004,['75168589'],['environment'],state,state,1.0,1.0,['SNOMED-CT'],beneficiarysummary_sp_state_code
"beneficiarysummary pertains to a synthetic medicare beneficiary , total number of months of part a coverage for the beneficiary.",0,Total,255619001,['7882689'],['qualifier value'],total,total,0.99,0.99,['SNOMED-CT'],beneficiarysummary_bene_hi_cvrage_tot_mons
"beneficiarysummary pertains to a synthetic medicare beneficiary , total number of months of part a coverage for the beneficiary.",3,In (attribute),18720000,['43039974'],['attribute'],of part,of~part,1.0,1.0,['SNOMED-CT'],beneficiarysummary_bene_hi_cvrage_tot_mons
"beneficiarysummary pertains to a synthetic medicare beneficiary , total number of months of part b coverage for the beneficiary.",0,Total,255619001,['7882689'],['qualifier value'],total,total,0.99,0.99,['SNOMED-CT'],beneficiarysummary_bene_smi_cvrage_tot_mons
"beneficiarysummary pertains to a synthetic medicare beneficiary , total number of months of part b coverage for the beneficiary.",3,In (attribute),18720000,['43039974'],['attribute'],of part,of~part,1.0,1.0,['SNOMED-CT'],beneficiarysummary_bene_smi_cvrage_tot_mons
"beneficiarysummary pertains to a synthetic medicare beneficiary , total number of months of hmo coverage for the beneficiary.",0,Total,255619001,['7882689'],['qualifier value'],total,total,0.99,0.99,['SNOMED-CT'],beneficiarysummary_bene_hmo_cvrage_tot_mons
"beneficiarysummary pertains to a synthetic medicare beneficiary , total number of months of part d plan coverage for the beneficiary.",0,Total,255619001,['7882689'],['qualifier value'],total,total,0.99,0.99,['SNOMED-CT'],beneficiarysummary_plan_cvrg_mos_num
"beneficiarysummary pertains to a synthetic medicare beneficiary , total number of months of part d plan coverage for the beneficiary.",3,In (attribute),18720000,['43039974'],['attribute'],of part,of~part,1.0,1.0,['SNOMED-CT'],beneficiarysummary_plan_cvrg_mos_num
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: alzheimer or related disorders or senile",0,Chronic,90734009,['7882689'],['qualifier value'],chronic,chronic,1.0,1.0,['SNOMED-CT'],beneficiarysummary_sp_alzhdmta
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: alzheimer or related disorders or senile",1,Condition,260905004,['43039974'],['attribute'],condition,condition,1.0,1.0,['SNOMED-CT'],beneficiarysummary_sp_alzhdmta
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: alzheimer or related disorders or senile",2,Alzheimer's disease,26929004,['9090192'],['disorder'],alzheimer,alzheimer,1.0,1.0,['SNOMED-CT'],beneficiarysummary_sp_alzhdmta
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: alzheimer or related disorders or senile",3,Related,262094002,['67667581'],['finding'],related,related,1.0,1.0,['SNOMED-CT'],beneficiarysummary_sp_alzhdmta
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: alzheimer or related disorders or senile",4,Disease,64572001,['9090192'],['disorder'],disorders,disorder,1.0,1.0,['SNOMED-CT'],beneficiarysummary_sp_alzhdmta
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: heart failure",0,Chronic,90734009,['7882689'],['qualifier value'],chronic,chronic,1.0,1.0,['SNOMED-CT'],beneficiarysummary_sp_chf
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: heart failure",1,Condition,260905004,['43039974'],['attribute'],condition,condition,1.0,1.0,['SNOMED-CT'],beneficiarysummary_sp_chf
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: heart failure",3,Heart failure,84114007,['9090192'],['disorder'],heart failure,heart~failure,1.0,1.0,['SNOMED-CT'],beneficiarysummary_sp_chf
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: chronic kidney disease",0,Chronic,90734009,['7882689'],['qualifier value'],chronic,chronic,1.0,1.0,['SNOMED-CT'],beneficiarysummary_sp_chrnkidn
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: chronic kidney disease",1,Condition,260905004,['43039974'],['attribute'],condition,condition,1.0,1.0,['SNOMED-CT'],beneficiarysummary_sp_chrnkidn
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: chronic kidney disease",3,Chronic kidney disease,709044004,['9090192'],['disorder'],chronic kidney disease,chronic~kidney~disease,1.0,1.0,['SNOMED-CT'],beneficiarysummary_sp_chrnkidn
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: cancer",0,Chronic,90734009,['7882689'],['qualifier value'],chronic,chronic,1.0,1.0,['SNOMED-CT'],beneficiarysummary_sp_cncr
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: cancer",1,Condition,260905004,['43039974'],['attribute'],condition,condition,1.0,1.0,['SNOMED-CT'],beneficiarysummary_sp_cncr
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: cancer",2,Malignant neoplastic disease,363346000,['9090192'],['disorder'],cancer,cancer,0.99,0.99,['SNOMED-CT'],beneficiarysummary_sp_cncr
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: chronic obstructive pulmonary disease",0,Chronic,90734009,['7882689'],['qualifier value'],chronic,chronic,1.0,1.0,['SNOMED-CT'],beneficiarysummary_sp_copd
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: chronic obstructive pulmonary disease",1,Condition,260905004,['43039974'],['attribute'],condition,condition,1.0,1.0,['SNOMED-CT'],beneficiarysummary_sp_copd
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: chronic obstructive pulmonary disease",3,Chronic obstructive lung disease,13645005,['9090192'],['disorder'],chronic obstructive pulmonary disease,chronic~obstructive~pulmonary~disease,1.0,1.0,['SNOMED-CT'],beneficiarysummary_sp_copd
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: depression",0,Chronic,90734009,['7882689'],['qualifier value'],chronic,chronic,1.0,1.0,['SNOMED-CT'],beneficiarysummary_sp_depressn
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: depression",1,Condition,260905004,['43039974'],['attribute'],condition,condition,1.0,1.0,['SNOMED-CT'],beneficiarysummary_sp_depressn
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: depression",2,Depressive disorder,35489007,['9090192'],['disorder'],depression,depression,0.2791332326089638,0.2791332326089638,['SNOMED-CT'],beneficiarysummary_sp_depressn
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: diabetes",0,Chronic,90734009,['7882689'],['qualifier value'],chronic,chronic,1.0,1.0,['SNOMED-CT'],beneficiarysummary_sp_diabetes
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: diabetes",1,Condition,260905004,['43039974'],['attribute'],condition,condition,1.0,1.0,['SNOMED-CT'],beneficiarysummary_sp_diabetes
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: diabetes",2,Diabetes mellitus,73211009,['9090192'],['disorder'],diabetes,diabete,0.5588371900919067,0.5588371900919067,['SNOMED-CT'],beneficiarysummary_sp_diabetes
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: ischemic heart disease",0,Chronic,90734009,['7882689'],['qualifier value'],chronic,chronic,1.0,1.0,['SNOMED-CT'],beneficiarysummary_sp_ischmcht
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: ischemic heart disease",1,Condition,260905004,['43039974'],['attribute'],condition,condition,1.0,1.0,['SNOMED-CT'],beneficiarysummary_sp_ischmcht
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: ischemic heart disease",3,Ischemic heart disease,414545008,['9090192'],['disorder'],ischemic heart disease,ischemic~heart~disease,1.0,1.0,['SNOMED-CT'],beneficiarysummary_sp_ischmcht
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: osteoporosis",0,Chronic,90734009,['7882689'],['qualifier value'],chronic,chronic,1.0,1.0,['SNOMED-CT'],beneficiarysummary_sp_osteoprs
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: osteoporosis",1,Condition,260905004,['43039974'],['attribute'],condition,condition,1.0,1.0,['SNOMED-CT'],beneficiarysummary_sp_osteoprs
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: osteoporosis",2,Osteoporosis,64859006,['9090192'],['disorder'],osteoporosis,osteoporosis,1.0,1.0,['SNOMED-CT'],beneficiarysummary_sp_osteoprs
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: rheumatoid arthritis and osteoarthritis (ra/oa)",0,Chronic,90734009,['7882689'],['qualifier value'],chronic,chronic,1.0,1.0,['SNOMED-CT'],beneficiarysummary_sp_ra_oa
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: rheumatoid arthritis and osteoarthritis (ra/oa)",1,Condition,260905004,['43039974'],['attribute'],condition,condition,1.0,1.0,['SNOMED-CT'],beneficiarysummary_sp_ra_oa
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: rheumatoid arthritis and osteoarthritis (ra/oa)",2,Rheumatoid arthritis,69896004,['9090192'],['disorder'],rheumatoid arthritis,rheumatoid~arthritis,1.0,1.0,['SNOMED-CT'],beneficiarysummary_sp_ra_oa
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: rheumatoid arthritis and osteoarthritis (ra/oa)",4,Osteoarthritis,396275006,['9090192'],['disorder'],osteoarthritis,osteoarthritis,1.0,1.0,['SNOMED-CT'],beneficiarysummary_sp_ra_oa
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: stroke/transient ischemic attack",0,Chronic,90734009,['7882689'],['qualifier value'],chronic,chronic,1.0,1.0,['SNOMED-CT'],beneficiarysummary_sp_strketia
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: stroke/transient ischemic attack",1,Condition,260905004,['43039974'],['attribute'],condition,condition,1.0,1.0,['SNOMED-CT'],beneficiarysummary_sp_strketia
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: stroke/transient ischemic attack",2,Cerebrovascular accident,230690007,['9090192'],['disorder'],stroke,stroke,0.8995222656112596,0.8995222656112596,['SNOMED-CT'],beneficiarysummary_sp_strketia
"beneficiarysummary pertains to a synthetic medicare beneficiary , chronic condition: stroke/transient ischemic attack",4,Transient ischemic attack,266257000,['9090192'],['disorder'],transient ischemic attack,transient~ischemic~attack,1.0,1.0,['SNOMED-CT'],beneficiarysummary_sp_strketia
"beneficiarysummary pertains to a synthetic medicare beneficiary , inpatient annual medicare reimbursement amount",0,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0,['SNOMED-CT'],beneficiarysummary_medreimb_ip
"beneficiarysummary pertains to a synthetic medicare beneficiary , inpatient annual medicare reimbursement amount",1,Annual,53281000,['7882689'],['qualifier value'],annual,annual,1.0,1.0,['SNOMED-CT'],beneficiarysummary_medreimb_ip
"beneficiarysummary pertains to a synthetic medicare beneficiary , inpatient annual beneficiary responsibility amount",0,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0,['SNOMED-CT'],beneficiarysummary_benres_ip
"beneficiarysummary pertains to a synthetic medicare beneficiary , inpatient annual beneficiary responsibility amount",1,Annual,53281000,['7882689'],['qualifier value'],annual,annual,1.0,1.0,['SNOMED-CT'],beneficiarysummary_benres_ip
"beneficiarysummary pertains to a synthetic medicare beneficiary , inpatient annual primary payer reimbursement amount",0,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0,['SNOMED-CT'],beneficiarysummary_pppymt_ip
"beneficiarysummary pertains to a synthetic medicare beneficiary , inpatient annual primary payer reimbursement amount",1,Annual,53281000,['7882689'],['qualifier value'],annual,annual,1.0,1.0,['SNOMED-CT'],beneficiarysummary_pppymt_ip
"beneficiarysummary pertains to a synthetic medicare beneficiary , outpatient institutional annual medicare reimbursement amount ",0,Outpatient,373864002,['31601201'],['person'],outpatient,outpatient,1.0,1.0,['SNOMED-CT'],beneficiarysummary_medreimb_op 
"beneficiarysummary pertains to a synthetic medicare beneficiary , outpatient institutional annual medicare reimbursement amount ",1,Annual,53281000,['7882689'],['qualifier value'],annual,annual,1.0,1.0,['SNOMED-CT'],beneficiarysummary_medreimb_op 
"beneficiarysummary pertains to a synthetic medicare beneficiary , outpatient institutional annual beneficiary responsibility amount",0,Outpatient,373864002,['31601201'],['person'],outpatient,outpatient,1.0,1.0,['SNOMED-CT'],beneficiarysummary_benres_op 
"beneficiarysummary pertains to a synthetic medicare beneficiary , outpatient institutional annual beneficiary responsibility amount",1,Annual,53281000,['7882689'],['qualifier value'],annual,annual,1.0,1.0,['SNOMED-CT'],beneficiarysummary_benres_op 
"beneficiarysummary pertains to a synthetic medicare beneficiary , outpatient institutional annual primary payer reimbursement amount ",0,Outpatient,373864002,['31601201'],['person'],outpatient,outpatient,1.0,1.0,['SNOMED-CT'],beneficiarysummary_pppymt_op 
"beneficiarysummary pertains to a synthetic medicare beneficiary , outpatient institutional annual primary payer reimbursement amount ",1,Annual,53281000,['7882689'],['qualifier value'],annual,annual,1.0,1.0,['SNOMED-CT'],beneficiarysummary_pppymt_op 
"beneficiarysummary pertains to a synthetic medicare beneficiary , outpatient institutional annual primary payer reimbursement amount ",2,Principal,63161005,['7882689'],['qualifier value'],primary,primary,0.20055895894126655,0.20055895894126655,['SNOMED-CT'],beneficiarysummary_pppymt_op 
"beneficiarysummary pertains to a synthetic medicare beneficiary , carrier annual medicare reimbursement amount ",0,Carrier of disorder,29679002,['67667581'],['finding'],carrier,carrier,1.0,1.0,['SNOMED-CT'],beneficiarysummary_medreimb_car 
"beneficiarysummary pertains to a synthetic medicare beneficiary , carrier annual medicare reimbursement amount ",1,Annual,53281000,['7882689'],['qualifier value'],annual,annual,1.0,1.0,['SNOMED-CT'],beneficiarysummary_medreimb_car 
"beneficiarysummary pertains to a synthetic medicare beneficiary , carrier annual beneficiary responsibility amount ",0,Carrier of disorder,29679002,['67667581'],['finding'],carrier,carrier,1.0,1.0,['SNOMED-CT'],beneficiarysummary_benres_car 
"beneficiarysummary pertains to a synthetic medicare beneficiary , carrier annual beneficiary responsibility amount ",1,Annual,53281000,['7882689'],['qualifier value'],annual,annual,1.0,1.0,['SNOMED-CT'],beneficiarysummary_benres_car 
"beneficiarysummary pertains to a synthetic medicare beneficiary , carrier annual primary payer reimbursement amount ",0,Carrier of disorder,29679002,['67667581'],['finding'],carrier,carrier,1.0,1.0,['SNOMED-CT'],beneficiarysummary_pppymt_car 
"beneficiarysummary pertains to a synthetic medicare beneficiary , carrier annual primary payer reimbursement amount ",1,Annual,53281000,['7882689'],['qualifier value'],annual,annual,1.0,1.0,['SNOMED-CT'],beneficiarysummary_pppymt_car 
"beneficiarysummary pertains to a synthetic medicare beneficiary , carrier annual primary payer reimbursement amount ",2,Principal,63161005,['7882689'],['qualifier value'],primary,primary,0.2326811498835868,0.2326811498835868,['SNOMED-CT'],beneficiarysummary_pppymt_car 
"inpatientclaims pertains to a synthetic inpatient claim, beneficiary code",0,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0,['SNOMED-CT'],inpatientclaims_desynpuf_id
"inpatientclaims pertains to a synthetic inpatient claim, claim id",0,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0,['SNOMED-CT'],inpatientclaims_clm_id
"inpatientclaims pertains to a synthetic inpatient claim, claim line segment",0,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0,['SNOMED-CT'],inpatientclaims_segment
"inpatientclaims pertains to a synthetic inpatient claim, claim line segment",2,Segment,264193005,['7882689'],['qualifier value'],segment,segment,1.0,1.0,['SNOMED-CT'],inpatientclaims_segment
"inpatientclaims pertains to a synthetic inpatient claim, claims start date",0,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0,['SNOMED-CT'],inpatientclaims_clm_from_dt
"inpatientclaims pertains to a synthetic inpatient claim, claims start date",1,Started,385652002,['7882689'],['qualifier value'],start,start,1.0,1.0,['SNOMED-CT'],inpatientclaims_clm_from_dt
"inpatientclaims pertains to a synthetic inpatient claim, claims end date",0,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0,['SNOMED-CT'],inpatientclaims_clm_thru_dt
"inpatientclaims pertains to a synthetic inpatient claim, provider institution",0,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0,['SNOMED-CT'],inpatientclaims_prvdr_num
"inpatientclaims pertains to a synthetic inpatient claim, provider institution",1,Institution,385437003,['13371933'],['social concept'],institution,institution,1.0,1.0,['SNOMED-CT'],inpatientclaims_prvdr_num
"inpatientclaims pertains to a synthetic inpatient claim, claim payment amount",0,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0,['SNOMED-CT'],inpatientclaims_clm_pmt_amt
"inpatientclaims pertains to a synthetic inpatient claim, nch primary payer claim paid amount",0,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0,['SNOMED-CT'],inpatientclaims_nch_prmry_pyr_clm_pd_amt
"inpatientclaims pertains to a synthetic inpatient claim, attending physician – national provider identifier number",0,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0,['SNOMED-CT'],inpatientclaims_at_physn_npi
"inpatientclaims pertains to a synthetic inpatient claim, attending physician – national provider identifier number",1,Attending physician,405279007,['16939031'],['occupation'],attending physician,attending~physician,1.0,1.0,['SNOMED-CT'],inpatientclaims_at_physn_npi
"inpatientclaims pertains to a synthetic inpatient claim, attending physician – national provider identifier number",3,Identifier (property),118522005,['7882689'],['qualifier value'],identifier,identifier,1.0,1.0,['SNOMED-CT'],inpatientclaims_at_physn_npi
"inpatientclaims pertains to a synthetic inpatient claim, attending physician – national provider identifier number",4,Number,410680006,['43039974'],['attribute'],number,number,0.40392148606904715,0.40392148606904715,['SNOMED-CT'],inpatientclaims_at_physn_npi
"inpatientclaims pertains to a synthetic inpatient claim, operating physician – national provider identifier number",0,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0,['SNOMED-CT'],inpatientclaims_op_physn_npi
"inpatientclaims pertains to a synthetic inpatient claim, operating physician – national provider identifier number",1,Physician,309343006,['16939031'],['occupation'],physician,physician,1.0,1.0,['SNOMED-CT'],inpatientclaims_op_physn_npi
"inpatientclaims pertains to a synthetic inpatient claim, operating physician – national provider identifier number",2,Identifier (property),118522005,['7882689'],['qualifier value'],identifier,identifier,1.0,1.0,['SNOMED-CT'],inpatientclaims_op_physn_npi
"inpatientclaims pertains to a synthetic inpatient claim, operating physician – national provider identifier number",3,Number,410680006,['43039974'],['attribute'],number,number,0.4204697419815793,0.4204697419815793,['SNOMED-CT'],inpatientclaims_op_physn_npi
"inpatientclaims pertains to a synthetic inpatient claim, other physician – national provider identifier number",0,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0,['SNOMED-CT'],inpatientclaims_ot_physn_npi
"inpatientclaims pertains to a synthetic inpatient claim, other physician – national provider identifier number",1,Physician,309343006,['16939031'],['occupation'],physician,physician,1.0,1.0,['SNOMED-CT'],inpatientclaims_ot_physn_npi
"inpatientclaims pertains to a synthetic inpatient claim, other physician – national provider identifier number",2,Identifier (property),118522005,['7882689'],['qualifier value'],identifier,identifier,1.0,1.0,['SNOMED-CT'],inpatientclaims_ot_physn_npi
