entity_id,pretty_name,cui,type_ids,types,source_value,detected_name,acc,context_similarity,ontologies,text,names
0,synthetic nucleotide,C0597550,['T114'],"['Nucleic Acid, Nucleoside, or Nucleotide']",synthetic,synthetic,0.27448882497552035,0.27448882497552035,[],"beneficiarysummary pertains to a synthetic medicare beneficiary , beneficiary code",beneficiarysummary_desynpuf_id
5,Risk Codes - Biological,C1548762,['T170'],['Intellectual Product'],code,code,0.35312065502978784,0.35312065502978784,[],"beneficiarysummary pertains to a synthetic medicare beneficiary , beneficiary code",beneficiarysummary_desynpuf_id
0,Synthesis,C1883254,['T052'],['Activity'],synthetic,synthetic,0.33533748417389353,0.33533748417389353,[],"beneficiarysummary pertains to a synthetic medicare beneficiary , date of birth",beneficiarysummary_bene_birth_dt
5,Subject Birth Date,C2348576,['T170'],['Intellectual Product'],date of birth,date~of~birth,1.0,1.0,[],"beneficiarysummary pertains to a synthetic medicare beneficiary , date of birth",beneficiarysummary_bene_birth_dt
0,Research Activities,C0242481,['T062'],['Research Activity'],synthetic,synthetic,0.3128156521040319,0.3128156521040319,[],"beneficiarysummary pertains to a synthetic medicare beneficiary , date of death",beneficiarysummary_bene_death_dt
1,Medicare,C0018717,['T064'],['Governmental or Regulatory Activity'],medicare,medicare,0.22056247311553517,0.22056247311553517,[],"beneficiarysummary pertains to a synthetic medicare beneficiary , date of death",beneficiarysummary_bene_death_dt
5,Date of death,C1148348,['T079'],['Temporal Concept'],date of death,date~of~death,1.0,1.0,[],"beneficiarysummary pertains to a synthetic medicare beneficiary , date of death",beneficiarysummary_bene_death_dt
0,synthetic nucleotide,C0597550,['T114'],"['Nucleic Acid, Nucleoside, or Nucleotide']",synthetic,synthetic,0.3501296077994056,0.3501296077994056,[],"beneficiarysummary pertains to a synthetic medicare beneficiary , sex",beneficiarysummary_bene_sex_ident_cd
4,Coitus,C0009253,['T040'],['Organism Function'],sex,sex,0.6394049696859173,0.6394049696859173,[],"beneficiarysummary pertains to a synthetic medicare beneficiary , sex",beneficiarysummary_bene_sex_ident_cd
0,synthetic nucleotide,C0597550,['T114'],"['Nucleic Acid, Nucleoside, or Nucleotide']",synthetic,synthetic,0.2901896647828332,0.2901896647828332,[],"beneficiarysummary pertains to a synthetic medicare beneficiary , beneficiary race code",beneficiarysummary_bene_race_cd
6,Risk Codes - Biological,C1548762,['T170'],['Intellectual Product'],code,code,0.3386885279979184,0.3386885279979184,[],"beneficiarysummary pertains to a synthetic medicare beneficiary , beneficiary race code",beneficiarysummary_bene_race_cd
0,Non-Biologic Disease-Modifying Antirheumatic Drug,C4054347,['T121'],['Pharmacologic Substance'],synthetic,synthetic,0.3269066036160908,0.3269066036160908,[],"beneficiarysummary pertains to a synthetic medicare beneficiary , end stage renal disease indicator",beneficiarysummary_bene_esrd_ind
2,"Beneficiaries, Insurance",C3853043,['T098'],['Population Group'],medicare beneficiary,medicare~beneficiary,0.2061779175107294,0.2061779175107294,[],"beneficiarysummary pertains to a synthetic medicare beneficiary , end stage renal disease indicator",beneficiarysummary_bene_esrd_ind
6,"Kidney Failure, Chronic",C0022661,['T047'],['Disease or Syndrome'],end stage renal disease,end~stage~renal~disease,1.0,1.0,[],"beneficiarysummary pertains to a synthetic medicare beneficiary , end stage renal disease indicator",beneficiarysummary_bene_esrd_ind
12,Biological Markers,C0005516,['T201'],['Clinical Attribute'],indicator,indicator,0.5387012009864467,0.5387012009864467,[],"beneficiarysummary pertains to a synthetic medicare beneficiary , end stage renal disease indicator",beneficiarysummary_bene_esrd_ind
0,Research Activities,C0242481,['T062'],['Research Activity'],synthetic,synthetic,0.3021042100398596,0.3021042100398596,[],"beneficiarysummary pertains to a synthetic medicare beneficiary , state code",beneficiarysummary_sp_state_code
