TipoDiAnnotazione,ontologies,SOURCE,AttributoNomeCompleto,entity_id,pretty_name,cui,type_ids,types,source_value,detected_name,acc,context_similarity
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-bene_birth_dt,1,Date of birth,184099003,['2680757'],['observable entity'],date of birth,date~of~birth,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-bene_death_dt,1,Date of death,399753006,['2680757'],['observable entity'],date of death,date~of~death,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-bene_esrd_ind,2,End-stage renal disease,46177005,['9090192'],['disorder'],end stage renal disease,end~stage~renal~disease,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-sp_state_code,0,State,398070004,['75168589'],['environment'],state,state,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-bene_hi_cvrage_tot_mons,3,In (attribute),18720000,['43039974'],['attribute'],of part,of~part,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-bene_smi_cvrage_tot_mons,3,In (attribute),18720000,['43039974'],['attribute'],of part,of~part,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-plan_cvrg_mos_num,3,In (attribute),18720000,['43039974'],['attribute'],of part,of~part,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-sp_alzhdmta,0,Chronic,90734009,['7882689'],['qualifier value'],chronic,chronic,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-sp_alzhdmta,1,Condition,260905004,['43039974'],['attribute'],condition,condition,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-sp_alzhdmta,2,Alzheimer's disease,26929004,['9090192'],['disorder'],alzheimer,alzheimer,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-sp_alzhdmta,3,Related,262094002,['67667581'],['finding'],related,related,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-sp_alzhdmta,4,Disease,64572001,['9090192'],['disorder'],disorders,disorder,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-sp_chf,0,Chronic,90734009,['7882689'],['qualifier value'],chronic,chronic,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-sp_chf,1,Condition,260905004,['43039974'],['attribute'],condition,condition,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-sp_chf,3,Heart failure,84114007,['9090192'],['disorder'],heart failure,heart~failure,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-sp_chrnkidn,0,Chronic,90734009,['7882689'],['qualifier value'],chronic,chronic,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-sp_chrnkidn,1,Condition,260905004,['43039974'],['attribute'],condition,condition,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-sp_chrnkidn,3,Chronic kidney disease,709044004,['9090192'],['disorder'],chronic kidney disease,chronic~kidney~disease,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-sp_cncr,0,Chronic,90734009,['7882689'],['qualifier value'],chronic,chronic,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-sp_cncr,1,Condition,260905004,['43039974'],['attribute'],condition,condition,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-sp_copd,0,Chronic,90734009,['7882689'],['qualifier value'],chronic,chronic,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-sp_copd,1,Condition,260905004,['43039974'],['attribute'],condition,condition,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-sp_copd,3,Chronic obstructive lung disease,13645005,['9090192'],['disorder'],chronic obstructive pulmonary disease,chronic~obstructive~pulmonary~disease,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-sp_depressn,0,Chronic,90734009,['7882689'],['qualifier value'],chronic,chronic,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-sp_depressn,1,Condition,260905004,['43039974'],['attribute'],condition,condition,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-sp_diabetes,0,Chronic,90734009,['7882689'],['qualifier value'],chronic,chronic,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-sp_diabetes,1,Condition,260905004,['43039974'],['attribute'],condition,condition,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-sp_ischmcht,0,Chronic,90734009,['7882689'],['qualifier value'],chronic,chronic,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-sp_ischmcht,1,Condition,260905004,['43039974'],['attribute'],condition,condition,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-sp_ischmcht,3,Ischemic heart disease,414545008,['9090192'],['disorder'],ischemic heart disease,ischemic~heart~disease,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-sp_osteoprs,0,Chronic,90734009,['7882689'],['qualifier value'],chronic,chronic,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-sp_osteoprs,1,Condition,260905004,['43039974'],['attribute'],condition,condition,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-sp_osteoprs,2,Osteoporosis,64859006,['9090192'],['disorder'],osteoporosis,osteoporosis,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-sp_ra_oa,0,Chronic,90734009,['7882689'],['qualifier value'],chronic,chronic,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-sp_ra_oa,1,Condition,260905004,['43039974'],['attribute'],condition,condition,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-sp_ra_oa,2,Rheumatoid arthritis,69896004,['9090192'],['disorder'],rheumatoid arthritis,rheumatoid~arthritis,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-sp_ra_oa,4,Osteoarthritis,396275006,['9090192'],['disorder'],osteoarthritis,osteoarthritis,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-sp_strketia,0,Chronic,90734009,['7882689'],['qualifier value'],chronic,chronic,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-sp_strketia,1,Condition,260905004,['43039974'],['attribute'],condition,condition,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-sp_strketia,4,Transient ischemic attack,266257000,['9090192'],['disorder'],transient ischemic attack,transient~ischemic~attack,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-medreimb_ip,0,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-medreimb_ip,1,Annual,53281000,['7882689'],['qualifier value'],annual,annual,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-benres_ip,0,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-benres_ip,1,Annual,53281000,['7882689'],['qualifier value'],annual,annual,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-pppymt_ip,0,Inpatient,416800000,['31601201'],['person'],inpatient,inpatient,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-pppymt_ip,1,Annual,53281000,['7882689'],['qualifier value'],annual,annual,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-medreimb_op ,0,Outpatient,373864002,['31601201'],['person'],outpatient,outpatient,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-medreimb_op ,1,Annual,53281000,['7882689'],['qualifier value'],annual,annual,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-benres_op ,0,Outpatient,373864002,['31601201'],['person'],outpatient,outpatient,1.0,1.0
dataframe_snomed,['SNOMED-CT'],Csm,beneficiarysummary-benres_op ,1,Annual,53281000,['7882689'],['qualifier value'],annual,annual,1.0,1.0
