TipoDiAnnotazione,ontologies,SOURCE,AttributoNomeCompleto,entity_id,pretty_name,cui,type_ids,types,source_value,detected_name,acc,context_similarity
Medcat_SNOMED_Df_Full_ANC,SNOMED-CT,Csm,beneficiarysummary-bene_birth_dt,1,Date of birth,184099003,['2680757'],['observable entity'],date of birth,date~of~birth,1.0,1.0
Medcat_SNOMED_Df_Full_ANC,SNOMED-CT,Csm,beneficiarysummary-bene_death_dt,1,Date of death,399753006,['2680757'],['observable entity'],date of death,date~of~death,1.0,1.0
Medcat_SNOMED_Df_Full_ANC,SNOMED-CT,Csm,beneficiarysummary-bene_esrd_ind,2,End-stage renal disease,46177005,['9090192'],['disorder'],end stage renal disease,end~stage~renal~disease,1.0,1.0
Medcat_SNOMED_Df_Full_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_state_code,0,State,398070004,['75168589'],['environment'],state,state,1.0,1.0
Medcat_SNOMED_Df_Full_ANC,SNOMED-CT,Csm,beneficiarysummary-bene_hi_cvrage_tot_mons,0,Total,255619001,['7882689'],['qualifier value'],total,total,0.99,0.99
Medcat_SNOMED_Df_Full_ANC,SNOMED-CT,Csm,beneficiarysummary-bene_hi_cvrage_tot_mons,3,In (attribute),18720000,['43039974'],['attribute'],of part,of~part,1.0,1.0
Medcat_SNOMED_Df_Full_ANC,SNOMED-CT,Csm,beneficiarysummary-bene_smi_cvrage_tot_mons,0,Total,255619001,['7882689'],['qualifier value'],total,total,0.99,0.99
Medcat_SNOMED_Df_Full_ANC,SNOMED-CT,Csm,beneficiarysummary-bene_smi_cvrage_tot_mons,3,In (attribute),18720000,['43039974'],['attribute'],of part,of~part,1.0,1.0
Medcat_SNOMED_Df_Full_ANC,SNOMED-CT,Csm,beneficiarysummary-bene_hmo_cvrage_tot_mons,0,Total,255619001,['7882689'],['qualifier value'],total,total,0.99,0.99
Medcat_SNOMED_Df_Full_ANC,SNOMED-CT,Csm,beneficiarysummary-plan_cvrg_mos_num,0,Total,255619001,['7882689'],['qualifier value'],total,total,0.99,0.99
Medcat_SNOMED_Df_Full_ANC,SNOMED-CT,Csm,beneficiarysummary-plan_cvrg_mos_num,3,In (attribute),18720000,['43039974'],['attribute'],of part,of~part,1.0,1.0
Medcat_SNOMED_Df_Full_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_alzhdmta,0,Chronic,90734009,['7882689'],['qualifier value'],chronic,chronic,1.0,1.0
Medcat_SNOMED_Df_Full_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_alzhdmta,1,Condition,260905004,['43039974'],['attribute'],condition,condition,1.0,1.0
Medcat_SNOMED_Df_Full_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_alzhdmta,2,Alzheimer's disease,26929004,['9090192'],['disorder'],alzheimer,alzheimer,1.0,1.0
Medcat_SNOMED_Df_Full_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_alzhdmta,3,Related,262094002,['67667581'],['finding'],related,related,1.0,1.0
Medcat_SNOMED_Df_Full_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_alzhdmta,4,Disease,64572001,['9090192'],['disorder'],disorders,disorder,1.0,1.0
Medcat_SNOMED_Df_Full_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_chf,0,Chronic,90734009,['7882689'],['qualifier value'],chronic,chronic,1.0,1.0
Medcat_SNOMED_Df_Full_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_chf,1,Condition,260905004,['43039974'],['attribute'],condition,condition,1.0,1.0
Medcat_SNOMED_Df_Full_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_chf,3,Heart failure,84114007,['9090192'],['disorder'],heart failure,heart~failure,1.0,1.0
Medcat_SNOMED_Df_Full_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_chrnkidn,0,Chronic,90734009,['7882689'],['qualifier value'],chronic,chronic,1.0,1.0
Medcat_SNOMED_Df_Full_ANC,SNOMED-CT,Csm,beneficiarysummary-sp_chrnkidn,1,Condition,260905004,['43039974'],['attribute'],condition,condition,1.0,1.0
