TipoDiAnnotazione,ontologies,SOURCE,AttributoNomeCompleto,entity_id,pretty_name,cui,type_ids,types,source_value,detected_name,acc,context_similarity
Medcat_UMLS_Df_CS_08_ANC,UMLS,Csm,beneficiarysummary-bene_birth_dt,5,Subject Birth Date,C2348576,['T170'],['Intellectual Product'],date of birth,date~of~birth,1.0,1.0
Medcat_UMLS_Df_CS_08_ANC,UMLS,Csm,beneficiarysummary-bene_death_dt,5,Date of death,C1148348,['T079'],['Temporal Concept'],date of death,date~of~death,1.0,1.0
Medcat_UMLS_Df_CS_08_ANC,UMLS,Csm,beneficiarysummary-bene_esrd_ind,6,"Kidney Failure, Chronic",C0022661,['T047'],['Disease or Syndrome'],end stage renal disease,end~stage~renal~disease,1.0,1.0
Medcat_UMLS_Df_CS_08_ANC,UMLS,Csm,beneficiarysummary-sp_copd,8,Chronic Obstructive Airway Disease,C0024117,['T047'],['Disease or Syndrome'],chronic obstructive pulmonary disease,chronic~obstructive~pulmonary~disease,1.0,1.0
Medcat_UMLS_Df_CS_08_ANC,UMLS,Csm,beneficiarysummary-sp_ra_oa,7,Rheumatoid Arthritis,C0003873,['T047'],['Disease or Syndrome'],rheumatoid arthritis,rheumatoid~arthritis,1.0,1.0
Medcat_UMLS_Df_CS_08_ANC,UMLS,Csm,beneficiarysummary-sp_strketia,9,Transient Ischemic Attack,C0007787,['T047'],['Disease or Syndrome'],transient ischemic attack,transient~ischemic~attack,1.0,1.0
Medcat_UMLS_Df_CS_08_ANC,UMLS,Csm,inpatientclaims-nch_bene_ip_ddctbl_amt,5,Deductibles,C0011131,['T170'],['Intellectual Product'],deductible,deductible,1.0,1.0
Medcat_UMLS_Df_CS_08_ANC,UMLS,Csm,inpatientclaims-nch_bene_blood_ddctbl_lblty_am,5,Deductibles,C0011131,['T170'],['Intellectual Product'],deductible,deductible,1.0,1.0
Medcat_UMLS_Df_CS_08_ANC,UMLS,Csm,inpatientclaims-clm_drg_cd,5,Diagnosis-Related Groups,C0011928,['T170'],['Intellectual Product'],diagnosis related group,diagnosis~related~group,1.0,1.0
Medcat_UMLS_Df_CS_08_ANC,UMLS,Csm,inpatientclaims-icd9_prcdr_cd,5,code cpt,C1136322,['T170'],['Intellectual Product'],procedure code,procedure~code,1.0,1.0
Medcat_UMLS_Df_CS_08_ANC,UMLS,Csm,inpatientclaims-icd9_prcdr_cd,9,code cpt,C1136322,['T170'],['Intellectual Product'],procedure code,procedure~code,1.0,1.0
Medcat_UMLS_Df_CS_08_ANC,UMLS,Csm,inpatientclaims-hcpcs_cd,8,Code System,C2347818,['T185'],['Classification'],coding system,coding~system,1.0,1.0
Medcat_UMLS_Df_CS_08_ANC,UMLS,Csm,inpatientclaims-hcpcs_cd,15,Code System,C2347818,['T185'],['Classification'],coding system,coding~system,1.0,1.0
Medcat_UMLS_Df_CS_08_ANC,UMLS,Csm,outpatientclaims-op_physn_npi,4,Physicians,C0031831,['T097'],['Professional or Occupational Group'],physician,physician,0.8067895543180832,0.8067895543180832
Medcat_UMLS_Df_CS_08_ANC,UMLS,Csm,outpatientclaims-op_physn_npi,6,Physicians,C0031831,['T097'],['Professional or Occupational Group'],provider,provider,0.8179299997761107,0.8179299997761107
