TipoDiAnnotazione,ontologies,SOURCE,AttributoNomeCompleto,entity_id,pretty_name,cui,type_ids,types,source_value,detected_name,acc,context_similarity
Medcat_UMLS_Df_Full_ANC,UMLS,Csm,beneficiarysummary-desynpuf_id,0,synthetic nucleotide,C0597550,['T114'],"['Nucleic Acid, Nucleoside, or Nucleotide']",synthetic,synthetic,0.2744888249755203,0.2744888249755203
Medcat_UMLS_Df_Full_ANC,UMLS,Csm,beneficiarysummary-desynpuf_id,5,Risk Codes - Biological,C1548762,['T170'],['Intellectual Product'],code,code,0.3531206550297878,0.3531206550297878
Medcat_UMLS_Df_Full_ANC,UMLS,Csm,beneficiarysummary-bene_birth_dt,0,Synthesis,C1883254,['T052'],['Activity'],synthetic,synthetic,0.3353374841738935,0.3353374841738935
Medcat_UMLS_Df_Full_ANC,UMLS,Csm,beneficiarysummary-bene_birth_dt,5,Subject Birth Date,C2348576,['T170'],['Intellectual Product'],date of birth,date~of~birth,1.0,1.0
Medcat_UMLS_Df_Full_ANC,UMLS,Csm,beneficiarysummary-bene_death_dt,0,Research Activities,C0242481,['T062'],['Research Activity'],synthetic,synthetic,0.3128156521040319,0.3128156521040319
Medcat_UMLS_Df_Full_ANC,UMLS,Csm,beneficiarysummary-bene_death_dt,1,Medicare,C0018717,['T064'],['Governmental or Regulatory Activity'],medicare,medicare,0.2205624731155351,0.2205624731155351
Medcat_UMLS_Df_Full_ANC,UMLS,Csm,beneficiarysummary-bene_death_dt,5,Date of death,C1148348,['T079'],['Temporal Concept'],date of death,date~of~death,1.0,1.0
Medcat_UMLS_Df_Full_ANC,UMLS,Csm,beneficiarysummary-bene_sex_ident_cd,0,synthetic nucleotide,C0597550,['T114'],"['Nucleic Acid, Nucleoside, or Nucleotide']",synthetic,synthetic,0.3501296077994056,0.3501296077994056
Medcat_UMLS_Df_Full_ANC,UMLS,Csm,beneficiarysummary-bene_sex_ident_cd,4,Coitus,C0009253,['T040'],['Organism Function'],sex,sex,0.6394049696859173,0.6394049696859173
Medcat_UMLS_Df_Full_ANC,UMLS,Csm,beneficiarysummary-bene_race_cd,0,synthetic nucleotide,C0597550,['T114'],"['Nucleic Acid, Nucleoside, or Nucleotide']",synthetic,synthetic,0.2901896647828332,0.2901896647828332
Medcat_UMLS_Df_Full_ANC,UMLS,Csm,beneficiarysummary-bene_race_cd,6,Risk Codes - Biological,C1548762,['T170'],['Intellectual Product'],code,code,0.3386885279979184,0.3386885279979184
Medcat_UMLS_Df_Full_ANC,UMLS,Csm,beneficiarysummary-bene_esrd_ind,0,Non-Biologic Disease-Modifying Antirheumatic Drug,C4054347,['T121'],['Pharmacologic Substance'],synthetic,synthetic,0.3269066036160908,0.3269066036160908
Medcat_UMLS_Df_Full_ANC,UMLS,Csm,beneficiarysummary-bene_esrd_ind,2,"Beneficiaries, Insurance",C3853043,['T098'],['Population Group'],medicare beneficiary,medicare~beneficiary,0.2061779175107294,0.2061779175107294
Medcat_UMLS_Df_Full_ANC,UMLS,Csm,beneficiarysummary-bene_esrd_ind,6,"Kidney Failure, Chronic",C0022661,['T047'],['Disease or Syndrome'],end stage renal disease,end~stage~renal~disease,1.0,1.0
Medcat_UMLS_Df_Full_ANC,UMLS,Csm,beneficiarysummary-bene_esrd_ind,12,Biological Markers,C0005516,['T201'],['Clinical Attribute'],indicator,indicator,0.5387012009864467,0.5387012009864467
Medcat_UMLS_Df_Full_ANC,UMLS,Csm,beneficiarysummary-sp_state_code,0,Research Activities,C0242481,['T062'],['Research Activity'],synthetic,synthetic,0.3021042100398596,0.3021042100398596
Medcat_UMLS_Df_Full_ANC,UMLS,Csm,beneficiarysummary-sp_state_code,4,C0683927,C0683927,['unk'],[''],state,state,0.4288698892488353,0.4288698892488353
Medcat_UMLS_Df_Full_ANC,UMLS,Csm,beneficiarysummary-sp_state_code,5,Risk Codes - Biological,C1548762,['T170'],['Intellectual Product'],code,code,0.3597678582304244,0.3597678582304244
